EVENT_NAME: L_AQUILA
EVENT_ID: IT-2009-0009
EVENT_DATE_YYYYMMDD: 20090406
EVENT_TIME_HHMMSS: 013240
EVENT_LATITUDE_DEGREE: 42.3420
EVENT_LONGITUDE_DEGREE: 13.3800
EVENT_DEPTH_KM: 8.3
HYPOCENTER_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_W: 6.1
MAGNITUDE_W_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_L: 
MAGNITUDE_L_REFERENCE: 
FOCAL_MECHANISM: Normal faulting
NETWORK: MN
STATION_CODE: AQU
STATION_NAME: 
STATION_LATITUDE_DEGREE: 42.353880
STATION_LONGITUDE_DEGREE: 13.401930
STATION_ELEVATION_M: 729
LOCATION: 
SENSOR_DEPTH_M: 15.0
VS30_M/S: 
SITE_CLASSIFICATION_EC8: B (inferred from geology)
MORPHOLOGIC_CLASSIFICATION: 
EPICENTRAL_DISTANCE_KM: 2.5
EARTHQUAKE_BACKAZIMUTH_DEGREE: 57.1
DATE_TIME_FIRST_SAMPLE_YYYYMMDD_HHMMSS: 
DATE_TIME_FIRST_SAMPLE_PRECISION: 
SAMPLING_INTERVAL_S: 
NDATA: 105
DURATION_S: 
STREAM: HLE
UNITS: cm/s^2
INSTRUMENT: sensor = Unknown [Unknown] | digitizer = Unknown [Unknown]
INSTRUMENT_ANALOG/DIGITAL: D
INSTRUMENTAL_FREQUENCY_HZ: 
INSTRUMENTAL_DAMPING: 
FULL_SCALE_G: 
N_BIT_DIGITAL_CONVERTER: 
PGA_CM/S^2: -255.267779
TIME_PGA_S: 
BASELINE_CORRECTION: BASELINE REMOVED
FILTER_TYPE: BUTTERWORTH
FILTER_ORDER: 2
LOW_CUT_FREQUENCY_HZ: 0.150
HIGH_CUT_FREQUENCY_HZ: 40.000
LATE/NORMAL_TRIGGERED: NT
DATABASE_VERSION: 0.5
HEADER_FORMAT: DYNA 1.2
DATA_TYPE: ACCELERATION RESPONSE SPECTRUM
PROCESSING: manual (Paolucci et al., 2011)
DATA_TIMESTAMP_YYYYMMDD_HHMMSS: 20211011_155542.781
DATA_LICENSE: CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/)
DATA_CITATION: Luzi L, Pacor F, Puglia R (2019). Italian Accelerometric Archive v 3.0 - Istituto Nazionale di Geofisica e Vulcanologia, Dipartimento della Protezione Civile Nazionale. doi: 10.13127/itaca.3.1
DATA_CREATOR: ITACA working group
ORIGINAL_DATA_MEDIATOR_CITATION: data obtained within the DPC-INGV data exchange agreements
ORIGINAL_DATA_MEDIATOR: Archive of Italian Department of Civil Protection
ORIGINAL_DATA_CREATOR_CITATION:  http://www.fdsn.org/networks/detail/MN/
ORIGINAL_DATA_CREATOR: network: MN (Mediterranean Very Broadband Seismographic Network (MedNet)); owner: Istituto Nazionale di Geofisica e Vulcanologia (INGV)
USER1: 
USER2: 
USER3: 
USER4: 
USER5: 
    0.010000   256.880707
    0.020000   261.459198
    0.022000   262.542419
    0.025000   266.097717
    0.029000   283.378143
    0.030000   294.448853
    0.032000   282.639801
    0.035001   318.075226
    0.036000   325.991547
    0.040000   312.261536
    0.041999   310.526611
    0.044001   368.898499
    0.045000   392.677460
    0.046000   395.071594
    0.048001   393.929871
    0.050000   436.444427
    0.054999   398.778473
    0.059999   477.675110
    0.064998   552.787476
    0.067002   555.429077
    0.069999   548.529785
    0.075002   612.994995
    0.080000   595.679565
    0.084998   543.398926
    0.090001   503.053589
    0.095003   574.176025
    0.100000   576.577881
    0.109999   734.189331
    0.120005   730.029907
    0.130005   838.728149
    0.132996   795.775330
    0.139997   643.607117
    0.149993   581.707397
    0.160000   508.350220
    0.170010   393.616119
    0.179986   346.662598
    0.190006   296.601227
    0.200000   295.133423
    0.220022   380.669403
    0.239981   477.836212
    0.250000   488.399231
    0.260010   486.370209
    0.280034   490.855621
    0.290023   490.672791
    0.300030   478.647858
    0.320000   467.937073
    0.340020   486.033569
    0.350017   517.254822
    0.359971   542.927490
    0.379939   557.986328
    0.400000   548.466919
    0.419992   537.978455
    0.439947   571.168579
    0.450045   589.126831
    0.459982   601.680725
    0.480077   614.602173
    0.500000   612.887756
    0.550055   609.094055
    0.599880   664.288208
    0.650195   590.383179
    0.667111   537.867188
    0.699790   423.777008
    0.750188   353.217346
    0.800000   339.008118
    0.850340   316.512787
    0.900090   308.168671
    0.949668   323.760498
    1.000000   310.865936
    1.100110   264.811615
    1.200480   213.678757
    1.300390   189.235779
    1.400560   178.508255
    1.499250   152.635666
    1.600000   126.059425
    1.700680   122.719925
    1.798561   109.764847
    1.901141    91.345695
    2.000000    76.656990
    2.197802    69.860382
    2.398082    59.577530
    2.500000    56.450172
    2.597403    50.019489
    2.801121    46.328060
    3.003003    40.398582
    3.205128    34.319393
    3.401361    28.183273
    3.496503    25.245428
    3.597122    23.510477
    3.802281    20.294163
    4.000000    17.037258
    4.201681    14.032666
    4.405286    11.451637
    4.608295     9.349245
    4.807692     8.712822
    5.000000     8.197855
    5.494505     6.925472
    5.988024     5.779703
    6.493506     4.820372
    6.993007     4.054037
    7.518797     3.448839
    8.000000     2.970035
    8.474576     2.591895
    9.009009     2.346618
    9.523809     2.131866
   10.000000     1.938665
