EVENT_NAME: L_AQUILA
EVENT_ID: IT-2009-0009
EVENT_DATE_YYYYMMDD: 20090406
EVENT_TIME_HHMMSS: 013240
EVENT_LATITUDE_DEGREE: 42.3420
EVENT_LONGITUDE_DEGREE: 13.3800
EVENT_DEPTH_KM: 8.3
HYPOCENTER_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_W: 6.1
MAGNITUDE_W_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_L: 
MAGNITUDE_L_REFERENCE: 
FOCAL_MECHANISM: Normal faulting
NETWORK: MN
STATION_CODE: AQU
STATION_NAME: 
STATION_LATITUDE_DEGREE: 42.353880
STATION_LONGITUDE_DEGREE: 13.401930
STATION_ELEVATION_M: 729
LOCATION: 
SENSOR_DEPTH_M: 15.0
VS30_M/S: 
SITE_CLASSIFICATION_EC8: B (inferred from geology)
MORPHOLOGIC_CLASSIFICATION: 
EPICENTRAL_DISTANCE_KM: 2.5
EARTHQUAKE_BACKAZIMUTH_DEGREE: 57.1
DATE_TIME_FIRST_SAMPLE_YYYYMMDD_HHMMSS: 
DATE_TIME_FIRST_SAMPLE_PRECISION: 
SAMPLING_INTERVAL_S: 
NDATA: 105
DURATION_S: 
STREAM: HLN
UNITS: cm/s^2
INSTRUMENT: sensor = Unknown [Unknown] | digitizer = Unknown [Unknown]
INSTRUMENT_ANALOG/DIGITAL: D
INSTRUMENTAL_FREQUENCY_HZ: 
INSTRUMENTAL_DAMPING: 
FULL_SCALE_G: 
N_BIT_DIGITAL_CONVERTER: 
PGA_CM/S^2: -301.881481
TIME_PGA_S: 
BASELINE_CORRECTION: BASELINE REMOVED
FILTER_TYPE: BUTTERWORTH
FILTER_ORDER: 2
LOW_CUT_FREQUENCY_HZ: 0.150
HIGH_CUT_FREQUENCY_HZ: 40.000
LATE/NORMAL_TRIGGERED: NT
DATABASE_VERSION: 0.5
HEADER_FORMAT: DYNA 1.2
DATA_TYPE: ACCELERATION RESPONSE SPECTRUM
PROCESSING: manual (Paolucci et al., 2011)
DATA_TIMESTAMP_YYYYMMDD_HHMMSS: 20211011_155543.067
DATA_LICENSE: CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/)
DATA_CITATION: Luzi L, Pacor F, Puglia R (2019). Italian Accelerometric Archive v 3.0 - Istituto Nazionale di Geofisica e Vulcanologia, Dipartimento della Protezione Civile Nazionale. doi: 10.13127/itaca.3.1
DATA_CREATOR: ITACA working group
ORIGINAL_DATA_MEDIATOR_CITATION: data obtained within the DPC-INGV data exchange agreements
ORIGINAL_DATA_MEDIATOR: Archive of Italian Department of Civil Protection
ORIGINAL_DATA_CREATOR_CITATION:  http://www.fdsn.org/networks/detail/MN/
ORIGINAL_DATA_CREATOR: network: MN (Mediterranean Very Broadband Seismographic Network (MedNet)); owner: Istituto Nazionale di Geofisica e Vulcanologia (INGV)
USER1: 
USER2: 
USER3: 
USER4: 
USER5: 
    0.010000   302.789795
    0.020000   307.595856
    0.022000   307.975891
    0.025000   309.478088
    0.029000   339.045959
    0.030000   329.244354
    0.032000   323.363953
    0.035001   335.943237
    0.036000   336.132050
    0.040000   347.239838
    0.041999   354.890717
    0.044001   323.439484
    0.045000   310.655060
    0.046000   322.254181
    0.048001   348.730988
    0.050000   367.332916
    0.054999   455.164124
    0.059999   465.503754
    0.064998   453.525757
    0.067002   456.823608
    0.069999   529.306152
    0.075002   578.491211
    0.080000   609.425659
    0.084998   557.966980
    0.090001   577.038757
    0.095003   550.430847
    0.100000   538.741211
    0.109999   592.508728
    0.120005   608.332886
    0.130005   698.120300
    0.132996   675.501099
    0.139997   545.200317
    0.149993   450.335846
    0.160000   459.864044
    0.170010   431.244263
    0.179986   365.252258
    0.190006   313.623505
    0.200000   286.910583
    0.220022   287.602905
    0.239981   281.551025
    0.250000   304.109772
    0.260010   299.815369
    0.280034   327.886780
    0.290023   321.291473
    0.300030   326.561493
    0.320000   326.474487
    0.340020   338.175079
    0.350017   341.399658
    0.359971   337.508453
    0.379939   322.736115
    0.400000   368.305847
    0.419992   405.702759
    0.439947   447.060364
    0.450045   467.382141
    0.459982   466.546417
    0.480077   422.316772
    0.500000   387.417847
    0.550055   370.633881
    0.599880   417.660339
    0.650195   466.201569
    0.667111   480.467712
    0.699790   504.140503
    0.750188   525.002563
    0.800000   528.495300
    0.850340   515.159363
    0.900090   490.501770
    0.949668   460.684937
    1.000000   428.947632
    1.100110   374.375305
    1.200480   316.402496
    1.300390   268.987000
    1.400560   232.310226
    1.499250   210.092529
    1.600000   189.221008
    1.700680   169.499466
    1.798561   151.263947
    1.901141   134.681961
    2.000000   119.751640
    2.197802    94.574478
    2.398082    80.056168
    2.500000    74.039314
    2.597403    66.249725
    2.801121    50.828350
    3.003003    43.896362
    3.205128    36.202271
    3.401361    29.404165
    3.496503    26.396980
    3.597122    24.734344
    3.802281    22.613890
    4.000000    20.750282
    4.201681    19.105579
    4.405286    17.647644
    4.608295    16.349974
    4.807692    15.190911
    5.000000    14.150689
    5.494505    11.971539
    5.988024    10.253871
    6.493506     8.876688
    6.993007     7.774123
    7.518797     6.870316
    8.000000     6.119652
    8.474576     5.490000
    9.009009     4.956829
    9.523809     4.502269
   10.000000     4.111999
