EVENT_NAME: L_AQUILA
EVENT_ID: IT-2009-0009
EVENT_DATE_YYYYMMDD: 20090406
EVENT_TIME_HHMMSS: 013240
EVENT_LATITUDE_DEGREE: 42.3420
EVENT_LONGITUDE_DEGREE: 13.3800
EVENT_DEPTH_KM: 8.3
HYPOCENTER_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_W: 6.1
MAGNITUDE_W_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_L: 
MAGNITUDE_L_REFERENCE: 
FOCAL_MECHANISM: Normal faulting
NETWORK: MN
STATION_CODE: AQU
STATION_NAME: 
STATION_LATITUDE_DEGREE: 42.353880
STATION_LONGITUDE_DEGREE: 13.401930
STATION_ELEVATION_M: 729
LOCATION: 
SENSOR_DEPTH_M: 15.0
VS30_M/S: 
SITE_CLASSIFICATION_EC8: B (inferred from geology)
MORPHOLOGIC_CLASSIFICATION: 
EPICENTRAL_DISTANCE_KM: 2.5
EARTHQUAKE_BACKAZIMUTH_DEGREE: 57.1
DATE_TIME_FIRST_SAMPLE_YYYYMMDD_HHMMSS: 
DATE_TIME_FIRST_SAMPLE_PRECISION: 
SAMPLING_INTERVAL_S: 
NDATA: 105
DURATION_S: 
STREAM: HLN
UNITS: cm
INSTRUMENT: sensor = Unknown [Unknown] | digitizer = Unknown [Unknown]
INSTRUMENT_ANALOG/DIGITAL: D
INSTRUMENTAL_FREQUENCY_HZ: 
INSTRUMENTAL_DAMPING: 
FULL_SCALE_G: 
N_BIT_DIGITAL_CONVERTER: 
PGD_CM: 8.121854
TIME_PGD_S: 
BASELINE_CORRECTION: BASELINE REMOVED
FILTER_TYPE: BUTTERWORTH
FILTER_ORDER: 2
LOW_CUT_FREQUENCY_HZ: 0.150
HIGH_CUT_FREQUENCY_HZ: 40.000
LATE/NORMAL_TRIGGERED: NT
DATABASE_VERSION: 0.5
HEADER_FORMAT: DYNA 1.2
DATA_TYPE: DISPLACEMENT RESPONSE SPECTRUM
PROCESSING: manual (Paolucci et al., 2011)
DATA_TIMESTAMP_YYYYMMDD_HHMMSS: 20211011_155543.205
DATA_LICENSE: CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/)
DATA_CITATION: Luzi L, Pacor F, Puglia R (2019). Italian Accelerometric Archive v 3.0 - Istituto Nazionale di Geofisica e Vulcanologia, Dipartimento della Protezione Civile Nazionale. doi: 10.13127/itaca.3.1
DATA_CREATOR: ITACA working group
ORIGINAL_DATA_MEDIATOR_CITATION: data obtained within the DPC-INGV data exchange agreements
ORIGINAL_DATA_MEDIATOR: Archive of Italian Department of Civil Protection
ORIGINAL_DATA_CREATOR_CITATION:  http://www.fdsn.org/networks/detail/MN/
ORIGINAL_DATA_CREATOR: network: MN (Mediterranean Very Broadband Seismographic Network (MedNet)); owner: Istituto Nazionale di Geofisica e Vulcanologia (INGV)
USER1: 
USER2: 
USER3: 
USER4: 
USER5: 
    0.010000     0.000767
    0.020000     0.003116
    0.022000     0.003777
    0.025000     0.004903
    0.029000     0.007206
    0.030000     0.007500
    0.032000     0.008389
    0.035001     0.010404
    0.036000     0.011049
    0.040000     0.014034
    0.041999     0.015877
    0.044001     0.015818
    0.045000     0.015957
    0.046000     0.017271
    0.048001     0.020326
    0.050000     0.023336
    0.054999     0.034598
    0.059999     0.042443
    0.064998     0.048685
    0.067002     0.052071
    0.069999     0.065862
    0.075002     0.082444
    0.080000     0.098848
    0.084998     0.102497
    0.090001     0.117688
    0.095003     0.126162
    0.100000     0.135894
    0.109999     0.182084
    0.120005     0.220222
    0.130005     0.299248
    0.132996     0.302403
    0.139997     0.270301
    0.149993     0.254195
    0.160000     0.298107
    0.170010     0.315333
    0.179986     0.299027
    0.190006     0.285750
    0.200000     0.289459
    0.220022     0.351685
    0.239981     0.408813
    0.250000     0.479919
    0.260010     0.511021
    0.280034     0.647684
    0.290023     0.681852
    0.300030     0.741062
    0.320000     0.843038
    0.340020     0.985786
    0.350017     1.055311
    0.359971     1.104332
    0.379939     1.175394
    0.400000     1.485841
    0.419992     1.805072
    0.439947     2.182290
    0.450045     2.384704
    0.459982     2.489048
    0.480077     2.453173
    0.500000     2.441768
    0.550055     2.831892
    0.599880     3.794730
    0.650195     4.970809
    0.667111     5.396037
    0.699790     6.233482
    0.750188     7.450080
    0.800000     8.522066
    0.850340     9.370295
    0.900090    10.003379
    0.949668    10.469881
    1.000000    10.809343
    1.100110    11.400432
    1.200480    11.485284
    1.300390    11.450889
    1.400560    11.448279
    1.499250    11.887517
    1.600000    12.164289
    1.700680    12.289350
    1.798561    12.287282
    1.901141    12.179096
    2.000000    11.991687
    2.197802    11.462845
    2.398082    11.573847
    2.500000    11.642862
    2.597403    11.221394
    2.801121     9.999114
    3.003003     9.853901
    3.205128     9.258305
    3.401361     8.526716
    3.496503     8.106598
    3.597122     7.874837
    3.802281     8.002555
    4.000000     8.115430
    4.201681     8.214790
    4.405286     8.303728
    4.608295     8.381881
    4.807692     8.452466
    5.000000     8.514109
    5.494505     8.636826
    5.988024     8.717560
    6.493506     8.766008
    6.993007     8.788419
    7.518797     8.791994
    8.000000     8.780641
    8.474576     8.758882
    9.009009     8.730576
    9.523809     8.699185
   10.000000     8.665097
