EVENT_NAME: L_AQUILA
EVENT_ID: IT-2009-0009
EVENT_DATE_YYYYMMDD: 20090406
EVENT_TIME_HHMMSS: 013240
EVENT_LATITUDE_DEGREE: 42.3420
EVENT_LONGITUDE_DEGREE: 13.3800
EVENT_DEPTH_KM: 8.3
HYPOCENTER_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_W: 6.1
MAGNITUDE_W_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_L: 
MAGNITUDE_L_REFERENCE: 
FOCAL_MECHANISM: Normal faulting
NETWORK: MN
STATION_CODE: AQU
STATION_NAME: 
STATION_LATITUDE_DEGREE: 42.353880
STATION_LONGITUDE_DEGREE: 13.401930
STATION_ELEVATION_M: 729
LOCATION: 
SENSOR_DEPTH_M: 15.0
VS30_M/S: 
SITE_CLASSIFICATION_EC8: B (inferred from geology)
MORPHOLOGIC_CLASSIFICATION: 
EPICENTRAL_DISTANCE_KM: 2.5
EARTHQUAKE_BACKAZIMUTH_DEGREE: 57.1
DATE_TIME_FIRST_SAMPLE_YYYYMMDD_HHMMSS: 
DATE_TIME_FIRST_SAMPLE_PRECISION: 
SAMPLING_INTERVAL_S: 
NDATA: 105
DURATION_S: 
STREAM: HLZ
UNITS: cm/s^2
INSTRUMENT: sensor = Unknown [Unknown] | digitizer = Unknown [Unknown]
INSTRUMENT_ANALOG/DIGITAL: D
INSTRUMENTAL_FREQUENCY_HZ: 
INSTRUMENTAL_DAMPING: 
FULL_SCALE_G: 
N_BIT_DIGITAL_CONVERTER: 
PGA_CM/S^2: 306.426438
TIME_PGA_S: 
BASELINE_CORRECTION: BASELINE REMOVED
FILTER_TYPE: BUTTERWORTH
FILTER_ORDER: 2
LOW_CUT_FREQUENCY_HZ: 0.150
HIGH_CUT_FREQUENCY_HZ: 40.000
LATE/NORMAL_TRIGGERED: NT
DATABASE_VERSION: 0.5
HEADER_FORMAT: DYNA 1.2
DATA_TYPE: ACCELERATION RESPONSE SPECTRUM
PROCESSING: manual (Paolucci et al., 2011)
DATA_TIMESTAMP_YYYYMMDD_HHMMSS: 20211011_155543.346
DATA_LICENSE: CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/)
DATA_CITATION: Luzi L, Pacor F, Puglia R (2019). Italian Accelerometric Archive v 3.0 - Istituto Nazionale di Geofisica e Vulcanologia, Dipartimento della Protezione Civile Nazionale. doi: 10.13127/itaca.3.1
DATA_CREATOR: ITACA working group
ORIGINAL_DATA_MEDIATOR_CITATION: data obtained within the DPC-INGV data exchange agreements
ORIGINAL_DATA_MEDIATOR: Archive of Italian Department of Civil Protection
ORIGINAL_DATA_CREATOR_CITATION:  http://www.fdsn.org/networks/detail/MN/
ORIGINAL_DATA_CREATOR: network: MN (Mediterranean Very Broadband Seismographic Network (MedNet)); owner: Istituto Nazionale di Geofisica e Vulcanologia (INGV)
USER1: 
USER2: 
USER3: 
USER4: 
USER5: 
    0.010000   314.703705
    0.020000   338.110962
    0.022000   346.252289
    0.025000   364.109406
    0.029000   369.441681
    0.030000   356.795349
    0.032000   411.615204
    0.035001   451.808502
    0.036000   518.648193
    0.040000   534.780518
    0.041999   574.179382
    0.044001   693.830627
    0.045000   745.245850
    0.046000   784.192932
    0.048001   944.573730
    0.050000  1187.817749
    0.054999  1187.679932
    0.059999   695.165283
    0.064998   520.818420
    0.067002   484.978485
    0.069999   496.579529
    0.075002   431.883392
    0.080000   380.894043
    0.084998   405.337860
    0.090001   398.731049
    0.095003   322.144867
    0.100000   303.379364
    0.109999   312.402985
    0.120005   447.727875
    0.130005   589.320496
    0.132996   597.476257
    0.139997   612.196899
    0.149993   636.120667
    0.160000   526.905396
    0.170010   438.888611
    0.179986   432.332794
    0.190006   484.758881
    0.200000   454.721710
    0.220022   425.666168
    0.239981   350.470612
    0.250000   266.363464
    0.260010   271.389435
    0.280034   208.682831
    0.290023   193.673538
    0.300030   170.250504
    0.320000   166.897369
    0.340020   141.393829
    0.350017   145.509338
    0.359971   146.983658
    0.379939   138.601364
    0.400000   144.522141
    0.419992   154.104141
    0.439947   156.728821
    0.450045   156.310547
    0.459982   159.876755
    0.480077   169.754868
    0.500000   183.952194
    0.550055   194.150650
    0.599880   188.824341
    0.650195   175.592636
    0.667111   170.681824
    0.699790   159.455414
    0.750188   144.654800
    0.800000   142.056564
    0.850340   167.326492
    0.900090   138.118484
    0.949668   115.435745
    1.000000   146.667450
    1.100110   134.204071
    1.200480   154.534576
    1.300390   124.014641
    1.400560   104.097260
    1.499250   106.569511
    1.600000   108.773514
    1.700680   107.017181
    1.798561    98.698074
    1.901141    95.087975
    2.000000    92.446632
    2.197802    86.737457
    2.398082    79.122528
    2.500000    75.338959
    2.597403    71.081421
    2.801121    65.075729
    3.003003    56.919231
    3.205128    49.520611
    3.401361    43.932365
    3.496503    41.200653
    3.597122    38.941113
    3.802281    34.626575
    4.000000    30.109838
    4.201681    28.012074
    4.405286    25.649488
    4.608295    23.250370
    4.807692    20.991846
    5.000000    18.899319
    5.494505    14.335703
    5.988024    11.878100
    6.493506    10.109550
    6.993007     8.613420
    7.518797     7.365749
    8.000000     6.333395
    8.474576     5.481606
    9.009009     4.778971
    9.523809     4.197987
   10.000000     3.714919
