EVENT_NAME: L_AQUILA
EVENT_ID: IT-2009-0009
EVENT_DATE_YYYYMMDD: 20090406
EVENT_TIME_HHMMSS: 013240
EVENT_LATITUDE_DEGREE: 42.3420
EVENT_LONGITUDE_DEGREE: 13.3800
EVENT_DEPTH_KM: 8.3
HYPOCENTER_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_W: 6.1
MAGNITUDE_W_REFERENCE: INGV-CNT_Seismic_Bulletin
MAGNITUDE_L: 
MAGNITUDE_L_REFERENCE: 
FOCAL_MECHANISM: Normal faulting
NETWORK: MN
STATION_CODE: AQU
STATION_NAME: 
STATION_LATITUDE_DEGREE: 42.353880
STATION_LONGITUDE_DEGREE: 13.401930
STATION_ELEVATION_M: 729
LOCATION: 
SENSOR_DEPTH_M: 15.0
VS30_M/S: 
SITE_CLASSIFICATION_EC8: B (inferred from geology)
MORPHOLOGIC_CLASSIFICATION: 
EPICENTRAL_DISTANCE_KM: 2.5
EARTHQUAKE_BACKAZIMUTH_DEGREE: 57.1
DATE_TIME_FIRST_SAMPLE_YYYYMMDD_HHMMSS: 
DATE_TIME_FIRST_SAMPLE_PRECISION: 
SAMPLING_INTERVAL_S: 
NDATA: 105
DURATION_S: 
STREAM: HLZ
UNITS: cm
INSTRUMENT: sensor = Unknown [Unknown] | digitizer = Unknown [Unknown]
INSTRUMENT_ANALOG/DIGITAL: D
INSTRUMENTAL_FREQUENCY_HZ: 
INSTRUMENTAL_DAMPING: 
FULL_SCALE_G: 
N_BIT_DIGITAL_CONVERTER: 
PGD_CM: -6.322035
TIME_PGD_S: 
BASELINE_CORRECTION: BASELINE REMOVED
FILTER_TYPE: BUTTERWORTH
FILTER_ORDER: 2
LOW_CUT_FREQUENCY_HZ: 0.150
HIGH_CUT_FREQUENCY_HZ: 40.000
LATE/NORMAL_TRIGGERED: NT
DATABASE_VERSION: 0.5
HEADER_FORMAT: DYNA 1.2
DATA_TYPE: DISPLACEMENT RESPONSE SPECTRUM
PROCESSING: manual (Paolucci et al., 2011)
DATA_TIMESTAMP_YYYYMMDD_HHMMSS: 20211011_155543.484
DATA_LICENSE: CC-BY4_0 (http://creativecommons.org/licenses/by/4.0/)
DATA_CITATION: Luzi L, Pacor F, Puglia R (2019). Italian Accelerometric Archive v 3.0 - Istituto Nazionale di Geofisica e Vulcanologia, Dipartimento della Protezione Civile Nazionale. doi: 10.13127/itaca.3.1
DATA_CREATOR: ITACA working group
ORIGINAL_DATA_MEDIATOR_CITATION: data obtained within the DPC-INGV data exchange agreements
ORIGINAL_DATA_MEDIATOR: Archive of Italian Department of Civil Protection
ORIGINAL_DATA_CREATOR_CITATION:  http://www.fdsn.org/networks/detail/MN/
ORIGINAL_DATA_CREATOR: network: MN (Mediterranean Very Broadband Seismographic Network (MedNet)); owner: Istituto Nazionale di Geofisica e Vulcanologia (INGV)
USER1: 
USER2: 
USER3: 
USER4: 
USER5: 
    0.010000     0.000797
    0.020000     0.003418
    0.022000     0.004242
    0.025000     0.005762
    0.029000     0.007864
    0.030000     0.008105
    0.032000     0.010602
    0.035001     0.014021
    0.036000     0.016876
    0.040000     0.021460
    0.041999     0.025660
    0.044001     0.033694
    0.045000     0.038347
    0.046000     0.041900
    0.048001     0.054545
    0.050000     0.076030
    0.054999     0.088913
    0.059999     0.062353
    0.064998     0.054219
    0.067002     0.054531
    0.069999     0.061770
    0.075002     0.061075
    0.080000     0.061325
    0.084998     0.074679
    0.090001     0.082252
    0.095003     0.072904
    0.100000     0.076973
    0.109999     0.094907
    0.120005     0.162916
    0.130005     0.251839
    0.132996     0.268076
    0.139997     0.302661
    0.149993     0.361896
    0.160000     0.339088
    0.170010     0.320877
    0.179986     0.354240
    0.190006     0.440444
    0.200000     0.457902
    0.220022     0.519268
    0.239981     0.508227
    0.250000     0.419172
    0.260010     0.461960
    0.280034     0.411728
    0.290023     0.409522
    0.300030     0.385628
    0.320000     0.430218
    0.340020     0.411895
    0.350017     0.449033
    0.359971     0.480016
    0.379939     0.503301
    0.400000     0.583763
    0.419992     0.683954
    0.439947     0.763272
    0.450045     0.799931
    0.459982     0.853265
    0.480077     0.981317
    0.500000     1.155903
    0.550055     1.481270
    0.599880     1.714838
    0.650195     1.873030
    0.667111     1.915202
    0.699790     1.969674
    0.750188     2.057357
    0.800000     2.294824
    0.850340     3.048759
    0.900090     2.820469
    0.949668     2.626024
    1.000000     3.698969
    1.100110     4.090672
    1.200480     5.608956
    1.300390     5.274377
    1.400560     5.135579
    1.499250     6.051733
    1.600000     7.017870
    1.700680     7.743891
    1.798561     8.080461
    1.901141     8.624925
    2.000000     9.317212
    2.197802    10.557774
    2.398082    11.485196
    2.500000    11.811470
    2.597403    12.014764
    2.801121    12.807994
    3.003003    12.865042
    3.205128    12.734997
    3.401361    12.747219
    3.496503    12.642549
    3.597122    12.704860
    3.802281    12.468373
    4.000000    12.145518
    4.201681    12.374253
    4.405286    12.397728
    4.608295    12.314245
    4.807692    12.112274
    5.000000    11.844076
    5.494505    10.714078
    5.988024    10.549536
    6.493506    10.453812
    6.993007    10.246483
    7.518797     9.975133
    8.000000     9.675340
    8.474576     9.370625
    9.009009     9.077514
    9.523809     8.804372
   10.000000     8.554799
